标题,昵称,地区,评论内容
带着AI眼镜再商家面前付款，看看商家什么反应,云端的人儿,未知,真好啊，这样子对没有手臂的残疾人朋友们来说，很友好吧
带着AI眼镜再商家面前付款，看看商家什么反应,阿斯特蕾垭,未知,[喜极而泣][喜极而泣][喜极而泣]想到这个场景就想笑
带着AI眼镜再商家面前付款，看看商家什么反应,Thomastree,未知,第一眼看到下面那个框还以为我dcs阿帕奇头显开了
带着AI眼镜再商家面前付款，看看商家什么反应,ThisssGk,未知,belike：
带着AI眼镜再商家面前付款，看看商家什么反应,小石坚,未知,以后在地铁上加班，你用眼神框选出来一段文字，大喊：五号，楷体！
带着AI眼镜再商家面前付款，看看商家什么反应,自两千年前的彦殊,未知,up一只手拿着可乐，另一只手拿几根手指分别夹着手机和眼镜腿拍这视频一定挺辛苦吧
带着AI眼镜再商家面前付款，看看商家什么反应,讨厌游泳的章鱼,未知,外人视角 拿着手机录制在用眼镜套在镜头上，用语音识别支付，
带着AI眼镜再商家面前付款，看看商家什么反应,江合Sinister,未知,我记得很多年前AirPods刚出来的时候很多人也觉得戴个耳机上街有点羞耻/装逼；再往前扫码支付刚推开的时候也有不少人觉得这东西比现金难用还刻意……假以时日，或许智能眼镜会成为新常态吧，没有人会觉得奇怪没有人会羞耻于当街使用。但现在这样的眼镜很明显还是没办法代替手机成为主流的，续航、算力、散热、显示、操控都还要优化
带着AI眼镜再商家面前付款，看看商家什么反应,烤余不是烤鱼,未知,"现在的某些智障设备：小x，打开扫一扫
店员：？
路人：？
设备：抱歉没有听清
用户：（新闻联播音）打-开-扫一扫----
[呲牙]超级方便的哦"
带着AI眼镜再商家面前付款，看看商家什么反应,David丶Lucy,未知,原来还要说话[吃瓜]我还以为用意念操控呢
带着AI眼镜再商家面前付款，看看商家什么反应,我才不是姛,未知,老板，这个b给手机戴眼镜什么意思
带着AI眼镜再商家面前付款，看看商家什么反应,AuenLegonmar,未知,有机械义眼为什么还要这个眼镜[doge]
带着AI眼镜再商家面前付款，看看商家什么反应,-我是人机_,未知,正确用法：拿完商品拍一拍边上的空气说支付三元，然后盯着边上的空气假装催促说快点确认付款啊[doge]
带着AI眼镜再商家面前付款，看看商家什么反应,美事坐家玩月工R,未知,"眼镜:你说啊，说出那句话啊
内向仔:哪句[笑哭]
👓: 就是那句，小艺小艺，确认支付！
内向仔...掏出了手机"
带着AI眼镜再商家面前付款，看看商家什么反应,-繁华下的尘埃,未知,哇 真的好高科技哦 不像我去超市付款 只需要轻轻碰一下  才能付款成功 像这种用眼睛扫描二维码 然后还需要说出付款魔法咒语的 眼睛实在是太帅了
带着AI眼镜再商家面前付款，看看商家什么反应,哈基飞_2233,未知,不会觉得很尴尬吗
带着AI眼镜再商家面前付款，看看商家什么反应,帅到丑啦,未知,老板：今天店里来了个神经病
带着AI眼镜再商家面前付款，看看商家什么反应,善于观察的鹤同学,未知,店员视角的bro
带着AI眼镜再商家面前付款，看看商家什么反应,寵癢,未知,"up眼中的自己“管家（扶眼镜），付款”
眼镜“即将支付”
up：“确认”
路人“这都能……”
（up邪魅一笑 不再言语）"
带着AI眼镜再商家面前付款，看看商家什么反应,我永远喜欢谷恒条野_,未知,万一....emmm....就是，当然不是我，你懂那种万一嗷万一嗷，真的有个人叫乐奇，你懂那种刷视频刷着刷着脊背发凉的感觉吗[良辰共此曲动态表情包_泣]
带着AI眼镜再商家面前付款，看看商家什么反应,秋分的dc,未知,我看到这个的第一反应：能不能给盲人用[doge_金箍]
带着AI眼镜再商家面前付款，看看商家什么反应,新手丨萌新,未知,这要是再开发一下不就是战术眼镜，还带瞄准的[doge_金箍]
带着AI眼镜再商家面前付款，看看商家什么反应,没什么好名字233333333,未知,讲道理，智能眼镜这种最适合用手碰眼镜腿、镜框来操作，而不是完全语音控制
带着AI眼镜再商家面前付款，看看商家什么反应,秋帳含此明月光,未知,太尬了，要是拿这玩意儿付款，我能尴尬到飞起来
带着AI眼镜再商家面前付款，看看商家什么反应,邪恶的正e人,未知,对于这种来讲，意识操作>手动操作>语音操作，所以这玩意完全没有发展前景，就一噱头。
带着AI眼镜再商家面前付款，看看商家什么反应,Nobody-YUN,未知,这东西好  给残疾人用
带着AI眼镜再商家面前付款，看看商家什么反应,老王无双,未知,小卖店嘉豪
带着AI眼镜再商家面前付款，看看商家什么反应,健康减肥ssfgyn,未知,除非这玩意可以意识控制不然感觉没啥用
带着AI眼镜再商家面前付款，看看商家什么反应,总爱叹气的小孟,未知,那如果眼镜丢了，别人带上了，是不是也能用你的支付宝付钱？
带着AI眼镜再商家面前付款，看看商家什么反应,COCO和NONO,未知,"[doge]改名叫系统然后支付的时候说
“系统，付款三块”
眼睛外放：
“检测到宿主正在进行每日任务一，是否确认”
“确认支付”
[胜利]"
带着AI眼镜再商家面前付款，看看商家什么反应,藤林杏压抑,未知,我认为这个眼镜对手脚不方便的残疾人还是有很大帮助的
带着AI眼镜再商家面前付款，看看商家什么反应,正经清风,未知,店主、顾客：咋了……小伙你📱得近视了？
