标题,昵称,地区,评论内容
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,星际迷航,江苏,共享车……狗都不骑
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,流心,广东,元宇宙废了
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,棋天小圣,江苏,是那个比年夜饭好吃的穷鬼套餐吗？[看]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,但求藤,四川,乱停乱放
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,皮不吃卡丘,浙江,大马路中间停车[赞]真有素质
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,苗成鑫,日本,别的先不说，你这停车，素质难堪
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,小九,广西,好了，以前汽车不能接电话，现在骑车玩游戏都没人能管得了了[抠鼻]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,魏成成書法篆刻工作室,宁夏,高考可以戴进去不[流泪]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,后来,北京,真的这么智能
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,铁血男儿走四方,辽宁,真的假的
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,👀👀👀👀👀～,湖北,@忧郁的农村入  带上出现的这个画面👀
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,かかか,广东,@小呆魚. 那么高级啊
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,真水无香,山东,硬件能做到  软件不会5年后才能开发出来吧！
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,洛荥,河南,呵呵，军事上早就有了。指挥官眼镜知道吗？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,yexiaoran1314,四川,[微笑][微笑]跟我想的智能眼镜完全一样
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,与光🌈,浙江,停在这里，你真是个睿智
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,绿健君安,湖北,在我们这里，你这样停共享单车根本就锁不了[捂脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,lxh,河南,: 乐奇 来一份拼好饭  ！   乐奇:你吃等半个小时的8块的  还是等一个小时5块的！
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,"着迷""",江西,停车就停路口上？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,兔兔,湖南,把乐奇抓起来
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,王郡是不明真相的围观群众,广西,这个眼镜特效怎么做的呢
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,！,广东,肯德基 狗都不吃  绝对是麦当劳的人[捂脸][捂脸][捂脸][捂脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,春风十里,浙江,附近有什么穷鬼套餐？他是不是说了这句话？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,甄果心选,福建,乐奇，可以教我搓麻将吗？？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,瓷泉安,江苏,有一个可以调整眼睛度数的才是好 有的话不管多少钱我都买了
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,竹柳风,江苏,小米Ai眼镜什么时候实现这个功能？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,忘川邱裤。,安徽,谁让你把车停路中间还上锁的[呲牙]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,甄果心选,福建,可以教我如何搓麻将吗？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,五香猪头肉,安徽,论生态重要性，这就是苹果nb之处[看]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,୧⍤⃝🔩💯,广东,停车竟然停在路中间，牛皮
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,小 杨 同 学,河南,电池不行
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,布衣羁客,上海,用这个开车，导航效果如何？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,阿练若,浙江,主打一个停车自由
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,林民,江西,和手机功能重叠
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,向日葵在宇宙,广西,乐奇带我去找美女[捂脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,明明,陕西,花钱越来越方便，都没感觉，感觉用的是数字
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,lxs，,上海,麦当劳低消费[抠鼻]这个眼镜植入广告那才是一睁眼全是广告[捂脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,东莞市虎门粤锐社二手车有限公司,广东,这属于智商税么？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,路亚钓手黄公子,上海,千万别买，正常环境，语音激活率不到50-60%，叫半天不理人，[捂脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,枫华荻花,浙江,乐奇把那辆行驶中的共享单车锁了[看]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,pinshan,福建,做个开车戴的智能眼镜吧
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,♓双鱼座的猪猪侠,江苏,多少💰让我死心[微笑]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,echo,黑龙江,宿主？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,硬派文艺青年,天津,真假的？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,O.嗜好🍉,广东,小公园M记
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,飞焰,江苏,以后在大马路上听到身边每个人都在说话，请不要好奇，他可能在自言自语也可能在用AI眼镜
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,祖赫✔,广西,把车锁在路中间，你也是个人才
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,福88.88.88.88.88卍,福建,8百多米5元这单车好贵哦，[捂脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,爱膜艺,湖北,在网上传那个洛奇打麻将那个视频可以计算出对方牌打的行不行？该出哪一张？是不是真的？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,凯迪不拉客,湖北,乐奇，把这个妞送我家里。
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,张太阳,云南,真的可以点餐？[泣不成声]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,1111~,北京,眼睛不会不舒服吗？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,婉婉,四川,现在小米Ai眼镜也可以这样吗
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,满眼都是你,山东,真是跟不上时代了，第一次知道还有这样的眼镜。现在科技真是太厉害了[赞]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,人生若只如初见,浙江,不是，就停这儿啊？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,坚持努力奋斗,浙江,这更容易分神了，被撞的可能性又要增加了，而且开车的也看不到你的分神
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,喜悦🐉🌿🧘‍♀️🛋,安徽,这是厦门吧
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,方同学,湖南,有么发达吗
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,没有名字,山西,续航多久
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,村夫,广东,能透视吗？[呲牙]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,玉林桉树刨板小谢,广西,人手家里一台运算模型，个个都是智能高手
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,大海洋,广东,这是汕头
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,𝑱𝒀.未来,广西,这样眼睛更瞎[强][强]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,Freedom_,江苏,这眼镜好
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,无悔一生,广东,多少钱一个！
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,AW,江西,就这一会儿，71%的电量就掉到了58%。
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,拉拉裤,广东,这个是真的么
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,松立哥【Bonasong茁松】,湖南,这什么牌子
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,月落星沉,广东,穷鬼套餐[捂脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,流年,四川,科技深入生活了！
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,小面条,山东,真的假的
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,曾经白过,上海,这就是未来的趋势，我预估要不了十年
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,星辰入梦,河南,可以搜题吗？[看][看][看]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,刘忙,北京,这个眼镜真的假的？？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,小阿刚,浙江,做广告呢[捂脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,大王࿐,四川,我近视咋办
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,Zebra/,吉林,好科幻，感觉只有游戏里边才有
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,明亮的星,浙江,你把车停路中间[抠鼻][抠鼻][抠鼻]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,𝟮𝟴🚌📸,广东,@暖暖胖 @S51 @MC文德菌.🚎（反小鬼） @至善至诚，且毅且勇·阿春 乐奇给我们每个人转100w[憨笑]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,𝑫𝒂𝒛𝒆𝒅🅥💀,江苏,考试作弊真出来了[看]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,左手指月☞,山西,花钱更快了[捂脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,就来了咯,浙江,挺费嗓子
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,静宸声漫漫,山东,真恐惧
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,周春隆,四川,科技太厉害了
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,000000000,江苏,有意思
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,仚屳屲冚的我,广东,续航多久
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,用户7404958216197,河南,我不信  共享单车的位置能锁车[杀马特]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,冷感电波,山东,打麻将能帮我算牌吗？我和老头打，他们对新科技不怎么敏感
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,很开心,福建,哪里买
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,浩然之气,广东,聋人可以用么
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,爱吃西兰花,黑龙江,狗不吃，我吃，谁请我
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,毋庸置疑ZDC,河南,中山街[捂脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,情人节,广东,再过一段时间，搞出那隐形眼镜，人真的是会魔法
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,亮哥,广东,我就想找一款能自动把看到的人美颜给我看的
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,喜欢唱歌的🎤骆驼,湖南,你把车锁在马路中间不对。影响别人出行。
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,优秀队长,四川,近视怎么办？不能带两个眼镜？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,清风笑,广东,什么眼镜
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,朝茶晚酒，,广东,什么眼镜我也买个
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,福扬万里,广东,[呲牙]这是什么牌子的眼镜
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,☀️幸运的凯撒👑5658👑,天津,违章乱停车，乐齐自动扣款1000元！
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,家电清洗安装,广西,1.几公里五块厉害
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,小霸王的锅锅,广东,眼镜
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,心不诚Heart,广东,火不起来有原因的，对眼睛伤害很大，手机就对眼睛伤害比较小
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,2392,广东,？？？？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,望月馨客栈,广西,带这眼镜是马路魂
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,永久指针,广西,真的假的
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,逆天,广东,汕头小公园是吧
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,一线天,四川,多年后 这些都是常规操作了[捂脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,海内存知己,浙江,这个有链接吗？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,大象流鼻涕,广东,青桔解锁出哈啰音效？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,陆基洲际,广东,这么厉害了吗？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,沈贝勒,浙江,这特效做的好
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,晚风🍃,辽宁,这个可以
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,光辉点缀黑夜,上海,过度营销了
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,居正,江苏,@kitti 好高级
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,败家老爷们,北京,咱就说能不能换个叫法，我想叫妲己宝宝[不失礼貌的微笑]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,一生平安,陕西,近视眼还真用不了这眼镜
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,张伟,江苏,这个怎么拍的
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,谱树曲子,广东,共享单车停路中央
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,如歌行板,安徽,乐奇，我要前面这个美女的所有资料
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,麦咩伊致邱森森,广东,别人看你自言自语会不会觉得啥
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,今生共相伴,河南,这么牛吗，好神奇[赞]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,文质彬彬,辽宁,[黑脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,鸡生蛋蛋生鸡A,重庆,牛
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,老欢,云南,[捂脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,猫腻,湖北,每人都有一个系统？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,喵喵子,上海,这是咋拍的呀 录屏吗
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,视频制作,广西,嗨喽，不是哈啰的台词吗[捂脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,恩泽如雨霈丶,新疆,主播，这个提词器功能好用吗，在台上演讲会漏光吗
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,用户4958734665928,山东,是不是近视的人就根本没办法用
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,宇,陕西,有这么好用吗
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,昭昭儿,浙江,近视的，但是又无法戴隐形眼镜的，可以用吗？[捂脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,时光使者,山西,骑了一会儿眼镜电量从71掉到59？？！[看]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,MarDanคิดถึง,新疆,从哪里下单
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,直播带货小王子,湖南,多少钱
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,刘梨,广东,人类的脑子真好使，居然幻影屏幕变成眼镜了
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,伟哥,广东,汕头小公园吗
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,幼稚园新童鞋,浙江,这个青桔单车的解锁提示音压根就不是这样的太假了[尬笑]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,我是小学生。,广西,这不是搞科技。
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,俊公子,广东,近视可以吗？
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,吴sir在努力,福建,出不
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,白云背后的蓝天,山东,狗都不吃这句话是我几年前就说过的一个梗
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,小楼,山西,这个眼镜太帅了
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,我,内蒙古,你好
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,大宝,福建,[赞][赞][赞]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,用户7613273221030,中国澳门,那有得買
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,秦晗滔,山东,现在这种技术属于是起步阶段 我的个人观点是再发展个三四年再买
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,淡忘世界,广东,能不能把那部小汽车解锁[呲牙][呲牙][呲牙]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,幽冥使者,江苏,可以送外卖，[尬笑]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,星辰大海,广东,乐奇，给我寄一款这个眼镜[捂脸]
当AR+AI眼镜 融入了生活点点滴滴 #AI眼镜 #AR眼镜 #共享单车 #科技改变生活 #rokid,小姨,安徽,我我我[流泪][流泪][流泪]穿越了！
