标题,昵称,地区,评论内容
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,森日,江西,带上这个就再也不怕眼睛过度疲劳而近视了[呲牙]
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,祈祷,江西,近视眼能戴吗？能用吗[呲牙]
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,橙橙橙🍊,安徽,看上去不错，值得推荐[赞][赞][赞][赞]
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,jemra,广东,近视看得到吗
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,绘空事,江西,科技越来越强了，把电影照进现实游戏
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,Moonlight.,四川,戴上这款眼镜，就可以体验到不同的效果[呲牙]
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,IcxsI,湖南,这个带度数的么，近视能用么
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,小7,辽宁,现在科技真的好发达[流泪]要跟上时代[不失礼貌的微笑]
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,毒女,江西,我去，这对爱追剧的很友好了，都不用拿着手机了
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,仪式感,江西,好好看啊，我也想拥有，可惜实力不允许
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,双木林,江西,对近视的人太方便了[呲牙]
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,无雍之人,河南,不影响看路吗
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,轮回星空,四川,边缘模糊吗
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,芝士蛋糕,广东,这个眼镜居然可以追剧，听音乐，种草了[玫瑰][庆祝]
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,迈瑞,广西,带着这个眼镜能看得到路吗？
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,郑姐5,辽宁,等女朋友逛街的时候，坐在长椅上看球赛真香
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,一阳,吉林,家装选家具，AR预览摆放效果不踩雷
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,Tender.,四川,这个就是高科技智能眼镜吗[赞][赞]
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,一生平安,山西,地铁通勤追剧神器，再也不用举着手机手酸啦~
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,三毛钱,新疆,800多度近视怎么办
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,然而,吉林,直播带货新利器，AR特效吸引眼球
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,云朵🌲,湖北,哇塞，感觉好好用啊，多少米
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,Gypsoph,广东,这个眼镜太好了，近视眼也可以带，带着也不累，福音[猪头]
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,热情咖喱饭,四川,鼓掌鼓掌鼓掌
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,羊驼（上学版）,浙江,妈呀，好高科技，随时可以体验
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,心有向阳,辽宁,带娃午睡时，妈妈终于可以安静追会儿剧了
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,肖钢,辽宁,长途大巴上，私人影院让旅程不再无聊！
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,任云娥,山西,旅游景点讲解，AR还原历史场景超震撼
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,然然,吉林,亲子互动新方式，AR游戏全家一起玩
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,楠楠,吉林,佩戴稳固，运动健身也不会掉落！
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,l平平,吉林,家装选家具，AR预览摆放效果不踩雷
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,人鱼公主&,吉林,医院陪护不无聊，躺着就能追剧解闷！
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,似水年华,吉林,语音控制精准，解放双手操作更自由
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,81299181216,吉林,美甲等待时间，看集综艺刚刚好！
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,张大厨,山西,健身私教课的时候，AR纠正动作更精准
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,来日方长,吉林,旅行景点打卡，AR导航不怕迷路！
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,一朵云,辽宁,厨房做饭好帮手，菜谱悬浮眼前不怕手忙脚乱
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,朵朵,辽宁,阳台晒太阳的时候，戴着它看电子书超惬意
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,菓果,黑龙江,散热优秀，看片2小时不发烫！
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,默默,吉林,午休时间办公室小憩，躺着刷剧超解压
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,声生不息,吉林,逛博物馆的时候，文物讲解AR展示超生动
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,吴先生。,吉林,续航给力，连续使用4小时无压力
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,星之沉寂,吉林,露营夜晚新娱乐，帐篷里看星空电影
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,柠檬不萌,吉林,游戏体验升级，AR游戏身临其境超刺激
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,赴约,湖北,小说里面的东西，真出现了？[发呆]
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,luckly,山西,新车试驾的时候，AR导航让路况一目了然
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,胆小鬼,山西,健身房撸铁的时候，AR计数让训练更科学
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,🏃风之羽1007,山西,超市购物的时候，比价信息实时显示超方便
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,清水含香,黑龙江,护眼模式贴心，长时间使用不疲劳
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,光阴似箭,吉林,家里装修监工，AR图纸对照超直观！
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,笑笑,辽宁,深夜追剧不扰民，躺着看大屏简直不要太爽
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,68215458794,辽宁,美发沙龙里，AR试发型不怕翻车！
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,来日方长,吉林,阳台做瑜伽，跟着AR教练动作更标准
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,倩倩,吉林,手势控制灵敏，动动手指就能操作超方便
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,🍂静静聆听007🐭,山西,家电维修的时候，AR教程手把手教学
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,翩翩飞舞,吉林,飞机经济舱神器，个人娱乐系统秒杀小屏幕
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,雨儿,山东,这款眼镜真的不错，功能齐全[赞]
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,我心逍遥,山东,这款眼镜也太先进了吧，看一眼就爱上了[捂脸]
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,老董,黑龙江,连接稳定，蓝牙/WiFi切换零延迟
眼睛看得到的未来，其实已经在你鼻尖戴着了#RokidARlite#杭州科创在WAIC组团出道#歌词就在眼镜里,蓝天白云,山东,RokidARlite眼镜立体感太强了，超级柔软，戴着舒服
