标题,昵称,地区,评论内容,情感得分
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,饿肚子的猫咪V,未知,单独的ai眼镜不太划得来，最好是蓝牙或星闪链接手机，靠手机的算力来运行，眼镜儿变成只是显示信息，这样首先大幅度省电，提升续航，另一方面也降低眼镜成本，加速普及。,0.78
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,命运2x假面骑士,未知,如果ai眼睛能代替现在的近视镜可自主调节度数，那可就真神了,0.95
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,职场老姐爱吐槽,未知,AI眼镜如果和手机合并就完美了,0.69
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,依然晴天qqqq,未知,戴久了会不会像近视镜一样，眼睛越来越凸,0.63
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,Java仙人,未知,rokid一用一个不吱声[藏狐],0.89
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,缺点能接受,未知,期待大疆ai眼镜,0.49
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,cafe179,未知,对于近视的我来讲，是不是可以配合适的镜片度数啊?,0.89
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,空白浪沫Zz,未知,这怎么听歌的，骨传导吗？,0.88
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,hgjg131,未知,可惜对本来就近视的人群不方便,0.24
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,夏目ゴリラ,未知,有个疑问这些ai眼镜如果录制视频途中没电，素材会丢失吗,0.28
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,MCV09,未知,雷朋新出的meta gen2怎么没有人测试？meta2这些数据都摸透了，短板是续航只有4小时，meta gen2说是翻倍了但是全b站一个视频都没有,0.91
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,汪有明亮的心,未知,期末考试能用吗[doge_金箍],0.97
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,柒柒的椰奶,未知,不插线看剧可以用多久？,0.7
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,科夫纳,未知,未来的玩具,0.96
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,513爱你,未知,是不是可以实现地图ar导航那种,0.49
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,7oveKi,未知,英语考试的时候可以？,0.85
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,冷眼看人类,未知,教育内卷创造大量近视眼，ai眼镜对近视眼不友好，可能还强化近视(?)。其实还有许多。社会急需系统协调。,1.0
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,y3t4ozzz,未知,能帮我考试吗？[doge],0.92
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,云鹰乂飞将,未知,乐奇的导航交互挺有意思的，小米挺小巧的，我感觉各有特色,1.0
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,丘比剪刀特,未知,这个产品品类有点意思。但目前太多的不成熟了。再等个3代，带有显示屏，再说。能够查看些简单的信息。比如微信聊天，电话来电，导航，视频等那就更好了。,0.66
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,pineapple_zz,未知,感觉有点重量，不过确实方便，可以拍照翻译这两点就很吸引人了,0.92
