标题,昵称,地区,评论内容
居然能用VR学语文？ #vr  #网课,奶昔不是冰淇淋💫,未知,为啥我都初一了？却没有学过这篇课文？[看]我怀疑我的课本是假的
居然能用VR学语文？ #vr  #网课,Mitleid,未知,妈妈我出息了，竟然刷到小篮没过万的视频。[恐惧][看]
居然能用VR学语文？ #vr  #网课,卿瑶🧃,未知,小蓝姐，你啥时候改行当老师了[捂脸][捂脸]
居然能用VR学语文？ #vr  #网课,VR玩家一号,未知,周四五六晚6到8点直播游戏，周六晚9点到8点直播vr问题答疑。顶我上去
居然能用VR学语文？ #vr  #网课,游鱼终归海,未知,唉，这年头翻视频都要再上一遍小学的课[看]
居然能用VR学语文？ #vr  #网课,用户2640756340159,未知,这课文我记得，我还把所有的俑改成了桶[泪奔][泪奔][泪奔]
居然能用VR学语文？ #vr  #网课,VR玩家一号,未知,vr可不是只能玩游戏的哦！
居然能用VR学语文？ #vr  #网课,东梦东,未知,如果真的可以这样上课的话，我可你会爱上学习的。
居然能用VR学语文？ #vr  #网课,软桃兔^,未知,要是真的能这样，我肯定很愿意学@钢琴🎹
居然能用VR学语文？ #vr  #网课,信风港,未知,你是语文老师吗[呆无辜]
居然能用VR学语文？ #vr  #网课,军少💯,未知,我们四年级上册的书不是小的，我们四年级是大的那种书。
居然能用VR学语文？ #vr  #网课,用户5800014193379,未知,哎呀妈呀，跑错班了，我是五下的[看][看][看]
居然能用VR学语文？ #vr  #网课,杨枝甘露加椰果^,未知,我去过西安看兵马俑真的[微笑]
居然能用VR学语文？ #vr  #网课,叹缘,未知,大哥呀，我才三年级
居然能用VR学语文？ #vr  #网课,张艺轩,未知,我还去过大唐不夜城
居然能用VR学语文？ #vr  #网课,.奶茶.℡,未知,要是这个能用到网课上面我们就惨了[黑脸][黑脸]
居然能用VR学语文？ #vr  #网课,无敌的虾仁,未知,做为一个下册，这篇我竟然没学过[泣不成声]
居然能用VR学语文？ #vr  #网课,⭐️混世小仙女❤️🥕,未知,不，我不要上网课[捂脸]
居然能用VR学语文？ #vr  #网课,黄绮秦丝(迷你玩家) 可加好友,未知,我才二年级！😡😡😡😡😡😡😡
居然能用VR学语文？ #vr  #网课,秦/.✨,未知,我终于看到这个景象了，我终于看到这个景象了，我终于看到这个景象了，哈哈哈哈哈哈哈哈
居然能用VR学语文？ #vr  #网课,。 。。。。。,未知,我刚上完课，你给我看这个。[泪奔]
居然能用VR学语文？ #vr  #网课,屋顶拾荒人✨,未知,你知道为什么你没火🔥，因为你说[捂脸][捂脸]是网课。
居然能用VR学语文？ #vr  #网课,冬日阳光☀️,未知,我是5年级下册了[抠鼻][晕]
居然能用VR学语文？ #vr  #网课,irritable_yzzz🏐🏸,未知,兄弟我三年级下册。
居然能用VR学语文？ #vr  #网课,蝶随夏,未知,而且我用的是人教版
居然能用VR学语文？ #vr  #网课,染指的青春,未知,姐姐你戴在眼睛上面的那个要多少钱？
居然能用VR学语文？ #vr  #网课,难追っ,未知,我的版式不一样的[捂脸]
居然能用VR学语文？ #vr  #网课,包老爷🏃,未知,背不来，不用考了吧。
居然能用VR学语文？ #vr  #网课,Z。🌻,未知,我已经去过了
居然能用VR学语文？ #vr  #网课,用户0144821227520,未知,饶了我吧
居然能用VR学语文？ #vr  #网课,呼呼.,未知,小学语文书当时让我擦屁股了，现在去太平洋捞还来得及吗
居然能用VR学语文？ #vr  #网课,島莓穗,未知,我卫衣上的图案和小兰衣服上的图案一样[白眼]
居然能用VR学语文？ #vr  #网课,Speechlessness😅,未知,我都六年级了[捂脸]
居然能用VR学语文？ #vr  #网课,小吴,未知,我觉得用来上课也很不错的。
居然能用VR学语文？ #vr  #网课,飛,未知,如果现在课也能这样讲就好了。[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸][捂脸]
居然能用VR学语文？ #vr  #网课,凉爽的夏天,未知,回顾课文，我已经五年级了，但是还是有点想看真实的场景
居然能用VR学语文？ #vr  #网课,桥松,未知,和我以前学的那个版本不一样呢
居然能用VR学语文？ #vr  #网课,✨樱花🌸小梦✨,未知,复制的不够好明明第三个坑里有一个大洞不要问我为什么记得那么清我去玩的时候拍下来了当时我还以为那洞里到底有个啥不要问我为什么当时我那么沙雕当时我才五岁对小兰姐姐能翻我吗？
居然能用VR学语文？ #vr  #网课,jj.,未知,秦兵马桶？？？[发呆][发呆][发呆]
居然能用VR学语文？ #vr  #网课,用户8511621476709,未知,你应该教历史[捂脸]
居然能用VR学语文？ #vr  #网课,2095018132,未知,我记得还有断头马俑呀[捂脸][捂脸]
居然能用VR学语文？ #vr  #网课,幼儿园在逃小盆友,未知,喜欢小蓝的第42年 哼
居然能用VR学语文？ #vr  #网课,一枝花,未知,我就在西安
居然能用VR学语文？ #vr  #网课,ⅠDémonn,未知,钉钉折磨我们也就算了！打开抖音，为什么还有人折磨我们？[泣不成声][泣不成声][泣不成声][泣不成声][泣不成声]
居然能用VR学语文？ #vr  #网课,Sheley星韵,未知,我已经初三了，四年级的书早就扔了。。。[捂脸]
居然能用VR学语文？ #vr  #网课,焜烨,未知,逃过了网课，没逃过小蓝姐你[捂脸][捂脸][捂脸]
居然能用VR学语文？ #vr  #网课,无七,未知,[赞]sfff
居然能用VR学语文？ #vr  #网课,张雪,未知,我现在的课文不一样了，第一课是短诗三首[捂脸][捂脸][捂脸]
居然能用VR学语文？ #vr  #网课,天知宝贝,未知,我们去过兵马俑[耶]
居然能用VR学语文？ #vr  #网课,余额宝,未知,什么时候我也能用VR上课[泣不成声]
居然能用VR学语文？ #vr  #网课,用户8487870923441,未知,小蓝，如果你真的是我的老师就好了
居然能用VR学语文？ #vr  #网课,Cyi7,未知,他们说兵马俑里面有人要偷兵马俑，所以装扮成兵马俑的样子，去，偷兵马俑，但是我在语文书上看到的是里面还有好几个兵马俑都没头[捂脸][捂脸][捂脸][捂脸]
居然能用VR学语文？ #vr  #网课,沂,未知,？？？有这课文吗？[疑问][疑问][疑问]
居然能用VR学语文？ #vr  #网课,北雨尘,未知,有些兵马俑头全掉了[看][看][看]
居然能用VR学语文？ #vr  #网课,提灯,未知,不科学，我去西安看兵马俑的时候，他们是没有头的[吐血][吐血]
居然能用VR学语文？ #vr  #网课,zᶻ .,未知,如果我们老师也用vr给我们上课，我准能听进去[呲牙]
居然能用VR学语文？ #vr  #网课,我是搞笑女(喜欢文轩、严霖、琪𨫎,未知,我才三年级呢。
居然能用VR学语文？ #vr  #网课,嘻嘻,未知,要是真的能这样就好了
居然能用VR学语文？ #vr  #网课,木子水,未知,这个地方我也去过呀西安兵马俑  
居然能用VR学语文？ #vr  #网课,已婚正太,未知,小蓝姐姐你的这个游戏地方我来过
居然能用VR学语文？ #vr  #网课,用户6718307503845,未知,这个是我们考试的题目，刚开始我不认识那两个字，我就把它当成马桶了。[捂脸]
居然能用VR学语文？ #vr  #网课,记忆骨钉',未知,我都五年级了，还要讲一遍啊。讲一讲五年级的吧。
居然能用VR学语文？ #vr  #网课,虾仁鱼,未知,不听不听，不上课啊啊啊啊啊！[泪奔][泪奔][泪奔][泪奔]
居然能用VR学语文？ #vr  #网课,月亮湾下的梦,未知,现在应该是下册课本
居然能用VR学语文？ #vr  #网课,蓝月亮,未知,福建色彩缤纷你房间色彩丰富避风港尺寸ｖ rv 复古也有一些[凋谢]亮点的设计u高速列车将参加这次会议是我们自己安排好时间
