评论时间,评论内容
2026年2月21日,"非常棒,全新正品。专卖店买的放心 !喜欢pico, 希望pic0能大卖下去!当天追评:  颜值很高。非常棒。国内VR畅销款。控制手柄比4更轻了。值得推荐!喜欢玩VR的可以下手。很多国人在玩。"
2026年2月27日,"做工很好。而且比想象中轻巧。戴在头上不会觉得很重。可玩性高。支持很多app, 小朋友很喜欢! 配的收纳包便携性也好。出门携带方便!"
2025年12月28日,作业就玩了还能运动刷抖音。还有很多功能等待我去发现! -次很好的购物体验匿名买家
2026年2月14日,产品收到。目视不错。开玩!
2025年12月28日,用着。期待连接能稳定些。等过几天使用后再来追评
2025年12月21日,己购:  先锋版 [品牌补贴减300+返120红包+咨询有惊喜]非常好。买的也是自己心怡的产品。卖家的服务也好。良心商家。值得回购!售后服务也一定会好的2天后追评: 非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好
2025年12月21日,非常好。是自己心怡的产品。卖家的服务态度也好。值得回购。以后的售后服务也一定会做的更好
2026年2月14日,体验不错第一次接触Vr和mr。
2025年11月26日,"己购:  运动PLUS版 [直降300+88会员券减460+限时返170红包]娃商场买卡玩了一段时间。发现喜欢VR眼镜的游戏。每次排队很久,看了商场机器的品牌。乘双11活动下单买个给娃家里玩。机器很不错哈。玩了快一周了。大人也觉得很不错。下载了爱奇艺。观影场景拉满。重看了一遍东极岛!还有很多配件。腰部和腿部。还送了充电器和"
2025年12月20日,非常好看。像看大片一样。玩了一下拳击。就消耗了100卡路里。玩了一下游戏。好像周边都很真实一样。太棒了。买迟了。
2025年11月17日,己购:  运动版 [直降300+88会员券减440+限时返120红包]1.双目4K屏+MR虚实融合。性能流畅佩戴舒适。办公娱乐双场景皆能带来沉浸体验。2.骁龙XR2 Gen2加持。空间视频与多窗口实用。轻量化设计让长时间使用无负担。
2025年11月24日,己购:  运动PLUS版 [直降300+88会员券减460+限时返170红包]
