标题,昵称,地区,评论内容,情感得分,来源文件
当物理老师在课上突然掏出VisionPro,一颗大头菜九万九,未知,为什么大家都在喷呢？我就是一名高三生，我听完这个讲解就是有恍然大悟的感觉啊，我之前在课堂上就是理解不了那个周期要怎么算，我感觉老师能买得起这个设备给学生用，起码也是给教学方式带来了创新嘛，况且我真的听懂了,1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,BK-201-Li,未知,高中现在双休，那我的三年又算了什么呢？[大哭],0.65,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,X叫什么来着X,未知,很好奇评论区都是些什么人,0.83,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,Felix_乐,未知,没有高科技，但我有数据线[doge][笑哭],0.97,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,powerpc970,未知,苹果在美国各大高校高中都会免费捐赠很多硬件设备，而且不是现在财大气粗了才做的，而是很早以前就在做了。这点上我们国内企业还差的很远（当然本身设备也有差距）,0.93,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,--燃,未知,这好像是五十中学生吧[惊讶],0.95,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,都很荣易啦,未知,县城当高中老师1年工资不吃不喝才买得起1个visionpro[辣眼睛][辣眼睛][辣眼睛],0.05,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,璟急摸鱼,未知,"评论区太傲慢。头显对大部分理科课堂来说很明显是非常有价值的。
优点很明显了，就不说了。先反驳评论区最多的一个观点：不如三维动画。
拿中学课堂举例，面对大量变种题目，不可能每次都做动画。老师的本职还是老师，不是动画师，不可能课后还花大量时间去学习软件，学习动画，制作动画。但头显能当堂完成演示。
头显课堂还有很多改进的地方，最明显的就是教师活动空间狭窄和投屏的屏幕有点小。其次头显也无法频繁使用，因为会有一些学生晕3D，vision pro的使用者长时间使用也会感到不适。
但是难道就因为存在一些局限，一点都不进行实验和探索吗？[思考]把使用经验分享在互联网，就真的变成哗众取宠了吗，真的让人这么急吗。还是说急一下显得自己很懂，看的很透彻[微笑]",1.0,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,闹闹闹哟,未知,[doge_金箍]我也是有Vision Pro的同行，不过教的是初中，请问up是用什么软件投屏到班级白板上的，延迟什么的表现如何,0.04,B站vr课堂评论数据1.csv
当物理老师在课上突然掏出VisionPro,请一键三连呀,未知,学校：批量购买,0.97,B站vr课堂评论数据1.csv
