ISO code,Country and areas,Note,Indicator,Measure,Estimate,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020 1
AFG,Afghanistan,,Malnutrition,Numbers Affected ('000s),Point Estimate,2275.7,2354.8,2422.7,2484.1,2531.3,2554.4,2580.0,2579.3,2562.4,2534.7,2507.4,2466.3,2417.3,2363.2,2307.7,2260.4,2203.5,2148.1,2096.6,2045.2,1988.8
ALB,Albania,,Malnutrition,Numbers Affected ('000s),Point Estimate,83.0,80.4,76.6,71.9,66.3,60.4,54.4,48.5,43.3,38.8,35.2,32.3,29.9,28.0,26.2,24.5,23.5,21.9,19.7,17.6,15.9
DZA,Algeria,,Malnutrition,Numbers Affected ('000s),Point Estimate,680.7,628.1,589.5,562.5,544.6,531.1,523.4,521.8,524.0,527.5,529.3,540.4,540.2,532.9,523.8,516.6,505.8,494.7,488.6,479.5,466.8
AND,Andorra,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AGO,Angola,,Malnutrition,Numbers Affected ('000s),Point Estimate,1474.5,1440.5,1401.4,1364.1,1333.5,1315.7,1313.6,1322.4,1342.7,1379.5,1426.5,1488.4,1554.8,1626.2,1700.3,1784.4,1872.8,1960.6,2043.2,2119.6,2186.7
AIA,Anguilla,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ATG,Antigua and Barbuda,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ARG,Argentina,,Malnutrition,Numbers Affected ('000s),Point Estimate,368.2,358.3,348.9,341.7,334.2,320.3,311.3,305.5,299.6,293.5,289.8,285.4,284.7,286.8,289.8,288.9,290.0,288.9,288.4,288.8,289.8
ARM,Armenia,,Malnutrition,Numbers Affected ('000s),Point Estimate,34.8,34.2,34.4,35.1,35.8,36.0,36.8,35.9,34.3,32.7,31.5,30.3,29.2,28.1,26.9,25.7,23.9,22.5,21.2,19.9,18.7
AUS,Australia,,Malnutrition,Numbers Affected ('000s),Point Estimate,16.4,16.9,17.5,18.3,19.3,20.6,22.1,24.0,25.8,27.5,29.0,30.6,31.7,32.1,32.5,33.0,33.2,33.7,34.3,34.8,35.3
