标题,昵称,地区,评论内容
#95后小伙手搓AI眼镜体验失明的一天#天冷了，来看点暖心事儿。上海95后开发者帆哥和团队他们用半年时间，做出了一款AI眼镜。...,冰奶绿冰奶绿,福建 福州,这就是科技的意义
#95后小伙手搓AI眼镜体验失明的一天#天冷了，来看点暖心事儿。上海95后开发者帆哥和团队他们用半年时间，做出了一款AI眼镜。...,信海云天,辽宁 抚顺,继续加油吧，科技改变生活
#95后小伙手搓AI眼镜体验失明的一天#天冷了，来看点暖心事儿。上海95后开发者帆哥和团队他们用半年时间，做出了一款AI眼镜。...,你想让我叫什么好,四川 成都,开源不仅促进了技术的普及，更传递了温暖与善意，为视障群体带来光明
#95后小伙手搓AI眼镜体验失明的一天#天冷了，来看点暖心事儿。上海95后开发者帆哥和团队他们用半年时间，做出了一款AI眼镜。...,数码科技梦工厂,河南,这个我也是挺看好的，真好用
#95后小伙手搓AI眼镜体验失明的一天#天冷了，来看点暖心事儿。上海95后开发者帆哥和团队他们用半年时间，做出了一款AI眼镜。...,hahahoney,天津,这就是科技带来的温度，帮助到有需要的群体更有质量地生活
#95后小伙手搓AI眼镜体验失明的一天#天冷了，来看点暖心事儿。上海95后开发者帆哥和团队他们用半年时间，做出了一款AI眼镜。...,崽崽在北城呀,山东,科技最好的作用就是如此
#95后小伙手搓AI眼镜体验失明的一天#天冷了，来看点暖心事儿。上海95后开发者帆哥和团队他们用半年时间，做出了一款AI眼镜。...,冰灵千山暮雪,其他,只有亲自体验才能了解和做出好产品
#95后小伙手搓AI眼镜体验失明的一天#天冷了，来看点暖心事儿。上海95后开发者帆哥和团队他们用半年时间，做出了一款AI眼镜。...,凌云架上展辉煌,山东 济宁,科技助行，仁心铺路，点亮前行。
#95后小伙手搓AI眼镜体验失明的一天#天冷了，来看点暖心事儿。上海95后开发者帆哥和团队他们用半年时间，做出了一款AI眼镜。...,鱼圈天菜,其他,我去，咋做到的，卖多少钱啊，材料不超百元，快生产吧
#95后小伙手搓AI眼镜体验失明的一天#天冷了，来看点暖心事儿。上海95后开发者帆哥和团队他们用半年时间，做出了一款AI眼镜。...,桃白Bai_9527,香港,这才是科技的意义，希望这种眼镜能帮助到更多的人
#95后小伙手搓AI眼镜体验失明的一天#天冷了，来看点暖心事儿。上海95后开发者帆哥和团队他们用半年时间，做出了一款AI眼镜。...,You悠我沁,福建,挺好的，可以减少导盲犬的工作了吧
#95后小伙手搓AI眼镜体验失明的一天#天冷了，来看点暖心事儿。上海95后开发者帆哥和团队他们用半年时间，做出了一款AI眼镜。...,今日份甜度满格,广东 中山,95后团队善举，开源AI眼镜照亮视障之路！
#95后小伙手搓AI眼镜体验失明的一天#天冷了，来看点暖心事儿。上海95后开发者帆哥和团队他们用半年时间，做出了一款AI眼镜。...,妞妞爱朵朵,重庆,95后用AI做百元眼镜，助视障者出行太暖心！
#95后小伙手搓AI眼镜体验失明的一天#天冷了，来看点暖心事儿。上海95后开发者帆哥和团队他们用半年时间，做出了一款AI眼镜。...,潇洒一副无所谓1,四川 宜宾,[抱一抱][抱一抱][抱一抱]这是真的非常温暖的科技啊
#95后小伙手搓AI眼镜体验失明的一天#天冷了，来看点暖心事儿。上海95后开发者帆哥和团队他们用半年时间，做出了一款AI眼镜。...,汐汐哈哈111111,重庆,低成本高实用性的设计，让科技真正服务于特殊群体
#95后小伙手搓AI眼镜体验失明的一天#天冷了，来看点暖心事儿。上海95后开发者帆哥和团队他们用半年时间，做出了一款AI眼镜。...,七安与九思,广东 梅州,不占盲道护设施科技加善意才是无障碍真谛
#95后小伙手搓AI眼镜体验失明的一天#天冷了，来看点暖心事儿。上海95后开发者帆哥和团队他们用半年时间，做出了一款AI眼镜。...,根着感觉赱,其他,看了这个故事之后，我也觉得心里暖暖的
#95后小伙手搓AI眼镜体验失明的一天#天冷了，来看点暖心事儿。上海95后开发者帆哥和团队他们用半年时间，做出了一款AI眼镜。...,捍卫宇宙和平的美少女,其他,用低成本做大事，这才是开源的真正魅力
#95后小伙手搓AI眼镜体验失明的一天#天冷了，来看点暖心事儿。上海95后开发者帆哥和团队他们用半年时间，做出了一款AI眼镜。...,翻车的鸡翅土豆条,四川 成都,帮视障者识盲道、过马路，科技就该这么有温度
#95后小伙手搓AI眼镜体验失明的一天#天冷了，来看点暖心事儿。上海95后开发者帆哥和团队他们用半年时间，做出了一款AI眼镜。...,一二罐头,四川 自贡,百元成本+开源，让视障群体也能轻松用科技
#95后小伙手搓AI眼镜体验失明的一天#天冷了，来看点暖心事儿。上海95后开发者帆哥和团队他们用半年时间，做出了一款AI眼镜。...,木木艾b,安徽,太有细节了呢，确实让人感觉到用心程度很强
#95后小伙手搓AI眼镜体验失明的一天#天冷了，来看点暖心事儿。上海95后开发者帆哥和团队他们用半年时间，做出了一款AI眼镜。...,甜即真理,广东,不仅分享技术，更呼吁无障碍设施，格局打开了
#95后小伙手搓AI眼镜体验失明的一天#天冷了，来看点暖心事儿。上海95后开发者帆哥和团队他们用半年时间，做出了一款AI眼镜。...,Jacqekaby,海外,感受到科技给大家带来的方便和意义的
#95后小伙手搓AI眼镜体验失明的一天#天冷了，来看点暖心事儿。上海95后开发者帆哥和团队他们用半年时间，做出了一款AI眼镜。...,淋一场豪大的雨,其他,呼吁爱护盲道设施，每个人都能为此贡献力量
#95后小伙手搓AI眼镜体验失明的一天#天冷了，来看点暖心事儿。上海95后开发者帆哥和团队他们用半年时间，做出了一款AI眼镜。...,流行小当家干吃面,其他,年轻开发者用低成本AI服务每个人
#95后小伙手搓AI眼镜体验失明的一天#天冷了，来看点暖心事儿。上海95后开发者帆哥和团队他们用半年时间，做出了一款AI眼镜。...,RP-我有水银不会死,福建,亲身测试显真诚，科技终于回归到人的需求
