标题,昵称,地区,评论内容,情感得分
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,可乐想逃出动物园,河北,怎么提示他人防偷拍呢，这个问题怎么解决的,0.18
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,杂念,山东,不敢想，脑机技术和这个眼镜结合起来对盲人同胞有多大的帮助。,0.05
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,GMii,广东,没啥用啊，近视带不了，视频只能10分钟，就一个翻译功能好用，真正拍视频VLOG画质也不够用,0.22
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,前任,江苏,都是谷歌玩剩下的,0.68
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,火山大爆发,广西,@小米官方旗舰店 这眼睛，加一个防近视的距离、光线提示功能就好了，比如在不正确使用眼睛的时候，做出提示之类的,1.0
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,有莫为,山东,开发一个自适应远近视度数的功能，这玩意就能突破性跨界了,0.45
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,皮皮虾爱满仓,湖南,要是边框能薄点就好啦，这大黑边框看着还是有点丑,0.0
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,2，4，6-三硝基甲苯(球棍模型),湖南,别搞，这个我真买得起 [流泪],0.55
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,乐森,广东,这镜头更适合全景镜头，insta360赶快入局。,0.95
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,听歌,河北,如果这个ai眼睛可以实时翻译物品和文字就好了[憨笑],0.89
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,￴你人真好🤡,山西,光线暗会模糊，这怎么搞，探花界又损失一员大将，总不能打灯吧,0.08
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,苏苏苏苏苏,江苏,变成亮白色，我直接心机之蛙,0.25
【首发】小米AI眼镜！可以变色的Vlog神器？ #小米AI眼镜 #小米YU7 #雷军 #小米,奕丹,重庆,可以当太阳镜用[捂脸]吗,0.06
