标题,昵称,地区,评论内容
当物理老师在课上突然掏出VisionPro,一颗大头菜九万九,未知,为什么大家都在喷呢？我就是一名高三生，我听完这个讲解就是有恍然大悟的感觉啊，我之前在课堂上就是理解不了那个周期要怎么算，我感觉老师能买得起这个设备给学生用，起码也是给教学方式带来了创新嘛，况且我真的听懂了
当物理老师在课上突然掏出VisionPro,BK-201-Li,未知,高中现在双休，那我的三年又算了什么呢？[大哭]
当物理老师在课上突然掏出VisionPro,X叫什么来着X,未知,很好奇评论区都是些什么人
当物理老师在课上突然掏出VisionPro,Felix_乐,未知,没有高科技，但我有数据线[doge][笑哭]
当物理老师在课上突然掏出VisionPro,powerpc970,未知,苹果在美国各大高校高中都会免费捐赠很多硬件设备，而且不是现在财大气粗了才做的，而是很早以前就在做了。这点上我们国内企业还差的很远（当然本身设备也有差距）
当物理老师在课上突然掏出VisionPro,--燃,未知,这好像是五十中学生吧[惊讶]
当物理老师在课上突然掏出VisionPro,都很荣易啦,未知,县城当高中老师1年工资不吃不喝才买得起1个visionpro[辣眼睛][辣眼睛][辣眼睛]
当物理老师在课上突然掏出VisionPro,璟急摸鱼,未知,"评论区太傲慢。头显对大部分理科课堂来说很明显是非常有价值的。
优点很明显了，就不说了。先反驳评论区最多的一个观点：不如三维动画。
拿中学课堂举例，面对大量变种题目，不可能每次都做动画。老师的本职还是老师，不是动画师，不可能课后还花大量时间去学习软件，学习动画，制作动画。但头显能当堂完成演示。
头显课堂还有很多改进的地方，最明显的就是教师活动空间狭窄和投屏的屏幕有点小。其次头显也无法频繁使用，因为会有一些学生晕3D，vision pro的使用者长时间使用也会感到不适。
但是难道就因为存在一些局限，一点都不进行实验和探索吗？[思考]把使用经验分享在互联网，就真的变成哗众取宠了吗，真的让人这么急吗。还是说急一下显得自己很懂，看的很透彻[微笑]"
当物理老师在课上突然掏出VisionPro,闹闹闹哟,未知,[doge_金箍]我也是有Vision Pro的同行，不过教的是初中，请问up是用什么软件投屏到班级白板上的，延迟什么的表现如何
当物理老师在课上突然掏出VisionPro,请一键三连呀,未知,学校：批量购买
当物理老师在课上突然掏出VisionPro,wchen1231,未知,os26可以多设备同时用了 人手一台上课就无敌了
当物理老师在课上突然掏出VisionPro,基米症状,未知,既然ipad可以配笔，那我觉得vp也可以配个笔，比如按住某个键才能画出线，很好的防止手势误触，还可以加流线调节防止手抖。
当物理老师在课上突然掏出VisionPro,阳光大女孩波奇,未知,好羡慕你的学生
当物理老师在课上突然掏出VisionPro,Ealen-Lu,未知,还有一个好处是这种方式学生会比较有兴趣，注意力马上就集中了。以前上地理课讲城市规划的时候就在想（当时疫情上网课），如果老师开个GTA5来上课教书那不是很有看头
当物理老师在课上突然掏出VisionPro,定长道人,未知,这类设备如果学校要采购可能会优先采购国产的其次就是价格，因为集中采购一般不会拣贵的买，所以很多学校大概率会买PICO的设备，其次才是国外的，比如Quest，但是Quest众所众知它的网络在国内一直是个问题，所以如果没什么意外的话肯定还是优先国产。
当物理老师在课上突然掏出VisionPro,Med_7,未知,评论区有一种曾经伞被撕碎所以现在也要撕碎别人伞的感觉…明明二十来岁最应该是革新变化的一代，怎么在教育方面如此保守
当物理老师在课上突然掏出VisionPro,睿姆,未知,这就是三维立体混元劲啊
当物理老师在课上突然掏出VisionPro,庄子HD,未知,我也想要这样的老师[星星眼]
当物理老师在课上突然掏出VisionPro,Murphelle,未知,高中时看您的物理教学，这么多年过去都忘了您还是个物理老师来[笑哭]
当物理老师在课上突然掏出VisionPro,睿智白勺猫,未知,其实用三维建模软件就可以了
当物理老师在课上突然掏出VisionPro,东君junn,未知,@Albertzbs 这个帅
当物理老师在课上突然掏出VisionPro,家硕_JiashuoMedia,未知,看得出来大宽老师确实是懂物理的，大家看完以后知道洛丽塔力是什么了嘛？
当物理老师在课上突然掏出VisionPro,超级三防战士,未知,这个真不如你直接用3d画图软件儿了。
当物理老师在课上突然掏出VisionPro,账号已注销,未知,上新闻代代裤了[笑哭][doge]
当物理老师在课上突然掏出VisionPro,springxu3817,未知,quest也可以吧
当物理老师在课上突然掏出VisionPro,Spongeboyboy,未知,这道题一讲就有印象了，根据当时的记忆，我记的这个题最难的点就是理解这个电子转几圈，很多同学当时是真的不好想象出来为什么电子正好转一圈的倍数，不要看这个视频一下就说清楚了，当时我们老师说明白真是费了一番功夫，我把记忆里之前老师的板书大概画出来了（画的不好兄弟们不要建议）说实话这个和视频里的对比其实差距是真的很大，特别是，你不要想着自己一下就想明白了，老师讲题他的目的是让所有学生都明白，有些学生想象力差，他无法想象出来，他光看这二维的图片是很难有理解的，毕竟二维和三维他差的可是一个层面，即使就是简单的从侧视图看到正视图，那也是能看到一个变换的过程，他不仅仅是2张图片的变化，他是一个过程，由于这个过程，才可以让学生们有空间想象的能力，所以，这个老师的操作，并不是花里胡哨，而是用科技的力量，去给学生们建立一个想象的框架，让学生对空间有本质的理解，这才是用科技教学的意义
当物理老师在课上突然掏出VisionPro,__rrrrroy,未知,不知道评论区有些人在酸什么，一节物理习题课，老师正好有可以体现立体视角的工具，帮助学生可以更好的理解题目，也可以让学生感受到新型科技，有些人用不到就在哪里说别人做秀[笑哭]
