评论时间,评论内容
2021-01-08,"这是一次换货 换了个麻烦 力。希望可以获得更多朋友的满意。这也是我们不断完善前行的动力,非常感谢您的支持!"
2021-03-14,"垃圾,很不愉快的一次购物, 上当受骗的感觉 首先感谢您对干幻魔镜的产品认可和支持。千幻AIO8pro巨幕观影机虚拟屏幕大概1000多英寸 呢! 支持各种手机型号的。网络最好选46/56网体验感会更好呢。如果有任何问题可以随时联系在线客服为您进行 垃圾。很不愉快的一次购物 上当受骗的感觉 千幻AIO8pro巨幕观影机虚拟屏幕大概1000多英寸 网络最好选46/56网体验感会更好呢。如果有任何问题可以随时联系在线客服为您进行 解答 jd_135744wrr"
2021-01-11,体验极差 一大堆配件。设计的还垃圾。离开了手机就是个垃圾 您好!为了给用户带来更好的使用体验; 请你联系客服指导您正确的使用; 这款眼镜比平 常观影眼镜佩戴轻便舒适 资源丰富。只要掌握了正确的使用方法可玩性还是很高的呢! 期待您的再次光临; 干幻 魔镜VR祝您幸福美满!
2021-02-25,客服对产品不了解 问了问题告诉我 垃圾。很不愉快的一次购物 上当受骗的感觉 千幻AIO8pro巨幕观影机虚拟屏幕大概1000多英寸 网络最好选46/56网体验感会更好呢。如果有任何问题可以随时联系在线客服为您进行 解答 jd_135744wrr
2021-02-25,客服对产品不了解 问了问题告诉我 另外有
2021-01-28,"首先感谢您对干幻魔镜的认可和支持 干幻AIO8pro巨幕观影机虚拟屏幕大概1000多英寸呢! 支持各种手机型号的。网络最好选46/56网体验感会更好呢。如果有任何问题可以随时联系在线客服为您进行解 一定会处理好您的问题 敬请放心,再次感谢您对干幻魔镜的支持。"
2021-03-10,"而且头晕 没有片源。只能投屏 操作也极不方便。摘下眼睛 操作手机; 然后戴上看 买了就等着后悔 吧。不知道那些评价是怎么来的。 很高您能购买我们的产品,产品有任何质量问题可以及时联系在线客服为您解决换新。咱们支持 一年质保的呢,这款眼镜是手机电脑同屏效果。链接手机电脑后不管是浏览网站还是在线看视频 (爱奇艺 腾讯, 优酷众多观影软件) 刷抖音看小说都是可以的呢; 1000英寸的大屏和1058ppi的清晰效果可以为您带来很好的观 秋意迥然 体验非常差。到货后捣鼓了快两个钟 总算能连上了, 期间客服什么都不懂; 自己都没用过根本解答不了问题;连 上后播放本地视频; 卡爆了了。带上眼镜画面就是一直在连接转圈圈, 容量大一点的直接投不出 我不知道这玩意有什么用 只能上网在线用**视频app投屏; 充电充着充着熄火了, 不知道是不是烧了,就这 **良心被狗吃了 ! 包装都 被我拆完了, 准备京东投诉那里看能不能退掉 最恶心的一次购物。没有之一! ! ! !"
2021-05-09,"体验不好 我们重视每位用户的体验和反馈的,遇到任何问题请先联系在线 小伙伴们都会全力以赴和您一起共同解决问题。希望干幻魔镜VR可以给您带去更多精彩"
2021-05-23,"交了智商税 我们重视每位用户的体验和反馈的,遇到任何问题请先联系在线 希望千幻魔镜VR可以给您带去更多精彩"
2021-06-17,此用户末填写评价内容
2021-06-17,"此用户末填写评价内容 购后123天追评刚买就下架了 只能看30骗子产品明明说是VR眼镜'发2000买个假货! ~定要先与客服咨询, 指导您更好观看哦~ jd_43dc8095bbd20"
2021-02-26,"退货还不给退; 找各种理由不退; 来还得带耳机,还有个大接收器都在眼镜上连接着都是线; 最差劲的一次购物!特别不满的是京东 在商品或店铺页面会有相关活动介绍哈。不存在任 何欺骗的, 购物最重要还是产品本身哈。多多体验。相信您会离不开它。使用中有什么疑问可以随时联系在线客服 钱老大爷"
2021-04-11,"购后123天追评刚买就下架了 只能看30骗子产品明明说是VR眼镜'发2000买个假货! ~定要先与客服咨询, 指导您更好观看哦~ jd_43dc8095bbd20"
2021-04-11,钱老大爷
2021-04-11,"视频是手机操作面板; 也没有。 买之前真的是被推广给晃晕眼了 2.蓝牙功能几乎没法用, 视频点了蓝牙。浏览器进去要大约1分钟(视频发不了那么长; 反正后面就是一直等大约一 分钟),然后-进去还搜不到蓝牙, 要关闭再打开; 又需要 分钟。和操作视频严重不符! 并且它不支持很多耳机, bose蓝牙运动耳机连不了 , 小米蓝牙音响连不了, 中文蓝牙名的所有蓝牙连不了。 所以 如果要用蓝牙耳机,蓝牙音响。慎买! ! ! 真的很不专业展开 购后26天追评追评一下, 店家得知后主动联系我道歉。态度很诚恳。后续让我把设备寄回仔细检测了一遍 视频详细的告知我操作步骤; 并且寄了一个全新的给我。问题也得到了解决 非常感谢。 可以联系这边在线客服为您处理的哈。咱们的V都 是经过了严格的出厂检测, 的。产品出货量巨大; 用户普通反馈也都不错的, 体验。相信您会爱上它。感谢您的支持和理解。 己为您过滤了参考价值不大的评价~ 还不错"
2021-02-18,"看20没问题。30试了好几个格式效果都不好 中如果有什么疑问可以随时联系在线客服为您解答 我们将竭诚为您服务, 舟舟之星 还不错"
2021-02-07,"优点: 1.轻便 2.近视眼不用戴眼镜可以0-700度调好用直接看 3.20和30观看确实有影院般的感觉。新颖有创意的产品。同类型产品中性价比高 4.通过投屏器几乎覆盖所有手机型缺点: 1.仔细看还是有 点点颗粒的, 虽然不细看几乎看不出来 镜片色彩偏灰白。色彩不够细腻。跟直接手机看色彩偏 差对比看就出来了 2.观看电影四角有切边 看电影四个角显示不全 还不能调整 3.戴耳机在没有声音时有轻微类似电流声的噪声 4.接入家里网络后无法配置同屏器蓝牙设置; 每次得重置设置好蓝牙重新在联网。设计不合理且蓝展开 舟舟之星 还不错"
2021-02-07,"优点: 1.轻便 2.近视眼不用戴眼镜可以0-700度调好用直接看 3.20和30观看确实有影院般的感觉 新颖有创意的产品。同类型产品中性价比高 通过投屏器几乎覆盖所有手机型缺点: 1.仔细看还是有 点点颗粒的, 虽然不细看几乎看不出来 镜片色彩偏灰白, 色彩不够细腻。跟直接手机看色彩偏 差对比看就出来了 2.观看电影四角有切边 看电影四个角显示不全; 还不能调整 3.戴耳机在没有声音时有轻微类似电流声的噪声 4.接入家里网络后无法配置同屏器蓝牙设置 每次得重置设置好蓝牙重新在联网。设计不合理且蓝展开 客服为您解答。我们将竭诚为您服务 还不错"
2020-12-23,不怎么好用 嘿嘿他爹
